Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
7442,1d12,"TXDOT Event 4","D","Events 4","Public Works","Texas Dept of Transportation - Austin District"
7443,1d13,"TXDOT Event 5","D","Events 5","Public Works","Texas Dept of Transportation - Austin District"
7444,1d14,"TXDOT EOC1","D","EOC 1","Public Works","Texas Dept of Transportation - Austin District"
7447,1d17,"TXDOT Security 1","DE","Security 1","Security","Texas Dept of Transportation - Austin District"
7448,1d18,"TXDOT Security 2","DE","Security 2","Security","Texas Dept of Transportation - Austin District"
7449,1d19,"TXDOT WIDE","D","Wide","Public Works","Texas Dept of Transportation - Austin District"
7582,1d9e,"Lampasas PD Disp","D","Lampasas (City) Police Dispatch","Law Dispatch","Lampasas County"
7598,1dae,"Lampasas FD Disp","D","Lampasas (City) Fire Dispatch","Fire Dispatch","Lampasas County"
16288,3fa0,"TxCap Telecom","D","Telecom - State office buildings","Public Works","Texas State Capitol"
16290,3fa2,"TxCap Ch 19","D","Ch 19","Public Works","Texas State Capitol"
34000,84d0,"TAPD Dispatch","D","Texarkana Police Dispatch (AR and TX)","Law Dispatch","Bowie County - Texarkana Police"
34002,84d2,"TAPD Mobile","D","Arkansas Mobile","Law Tac","Bowie County - Texarkana Police"
34003,84d3,"TAPD Tactical 3","D","Arkansas Tactical 3","Law Tac","Bowie County - Texarkana Police"
34004,84d4,"TAPD Tactical 4","D","Arkansas Tactical 4","Law Tac","Bowie County - Texarkana Police"
34005,84d5,"Bowie SO Cities","D","Sheriff Local PDs","Law Tac","Bowie County"
34006,84d6,"Bowie SO A Disp","D","Sheriff Ch A (includes Wake Village, Nash, Hooks)","Law Dispatch","Bowie County"
34007,84d7,"Bowie SO Admin","D","Sheriff Adminstration","Law Talk","Bowie County"
34008,84d8,"Bowie SO B","D","Sheriff Ch B","Law Tac","Bowie County"
34009,84d9,"Bowie SO C","D","Sheriff Ch C","Law Tac","Bowie County"
34010,84da,"Bowie SO CID","D","Sheriff CID","Law Tac","Bowie County"
34011,84db,"Bowie SO SWAT","D","Sheriff SWAT","Law Tac","Bowie County"
34012,84dc,"Bowie Co Central","D","Central","Law Tac","Bowie County"
34013,84dd,"Bowie Co Cntywd","D","Countywide","Interop","Bowie County"
34014,84de,"Bowie Co CSCD","D","Community Supervision and Corrections Department","Corrections","Bowie County"
34015,84df,"Bowie Co Emerg","D","Emergency","Emergency Ops","Bowie County"
34016,84e0,"Hooks PW","D","Hooks","Public Works","Bowie County"
34017,84e1,"BC OEM Inc 1","D","Office of Emergency Management (OEM) Incident 1","Emergency Ops","Bowie County"
34018,84e2,"BC OEM Inc 2","D","Office of Emergency Management (OEM) Incident 2","Emergency Ops","Bowie County"
34019,84e3,"BC OEM Inc 3","D","Office of Emergency Management (OEM) Incident 3","Emergency Ops","Bowie County"
34020,84e4,"Bowie SO Info 2","D","Sheriff Information 2","Law Talk","Bowie County"
34021,84e5,"Bowie SO Info","D","Sheriff Information","Law Talk","Bowie County"
34022,84e6,"Bowie SO Jail 1","D","Sheriff Jail 1","Corrections","Bowie County"
34023,84e7,"Bowie SO Jail 2","D","Sheriff Jail 2","Corrections","Bowie County"
34024,84e8,"LE ISD","D","Liberty-Eylau Independent School District","Schools","Bowie County"
34025,84e9,"Miller SO 2","D","Miller Ark SO 2","Law Tac","Bowie County"
34026,84ea,"Nash Police","D","Nash Police","Law Tac","Bowie County"
34027,84eb,"Nash PW","D","Nash Public Works","Public Works","Bowie County"
